PC,explained_variance_ratio,cumulative_variance
PC1,0.0653574357556535,0.0653574357556535
PC2,0.03345103207327361,0.0988084678289271
PC3,0.025120286773567303,0.1239287546024944
PC4,0.020027296258003313,0.14395605086049773
PC5,0.01735056088447383,0.16130661174497157
PC6,0.013432242535285542,0.17473885428025712
PC7,0.011667514931767566,0.1864063692120247
PC8,0.009344417115045252,0.19575078632706994
PC9,0.0083624356227759,0.20411322194984582
PC10,0.007559854278593058,0.2116730762284389
