PC1,PC2,delta_G
-12.49202139243026,-7.775653535471191,4.014260041193163
-12.49202139243026,-5.68688941442797,4.014260041193153
-12.187869378438204,-7.31148373079492,4.014260041193153
-12.187869378438204,-5.68688941442797,4.014260041193153
-11.883717364446145,-9.632332754176275,4.014260041193153
-11.883717364446145,-8.471908242485597,4.014260041193153
-11.883717364446145,-8.007738437809326,2.2854123434405467
-11.883717364446145,-7.0793988284567835,4.014260041193163
-11.883717364446145,-5.918974316766105,4.014260041193163
-11.57956535045409,-9.168162949500005,4.014260041193172
-11.57956535045409,-6.1510592191042415,4.014260041193153
-11.27541333646203,-8.239823340147463,2.2854123434405373
-11.27541333646203,-8.007738437809326,4.014260041193163
-11.27541333646203,-7.543568633133055,4.014260041193153
-11.27541333646203,-7.0793988284567835,4.014260041193163
-11.27541333646203,-6.615229023780513,4.014260041193163
-11.27541333646203,-6.1510592191042415,4.014260041193153
-10.971261322469974,-8.936078047161867,2.2854123434405373
-10.971261322469974,-8.007738437809326,4.014260041193163
-10.971261322469974,-7.775653535471191,4.014260041193163
-10.971261322469974,-6.615229023780513,4.014260041193163
-10.971261322469974,-6.1510592191042415,4.014260041193153
-10.971261322469974,-5.454804512089835,4.014260041193153
-10.971261322469974,-4.758549805075428,4.014260041193153
-10.667109308477915,-9.632332754176275,4.014260041193153
-10.667109308477915,-9.168162949500005,2.2854123434405564
-10.667109308477915,-8.703993144823734,1.2741012707971542
-10.667109308477915,-8.471908242485597,2.2854123434405373
-10.667109308477915,-8.007738437809326,4.014260041193163
-10.667109308477915,-7.775653535471191,4.014260041193163
-10.667109308477915,-7.543568633133055,2.2854123434405373
-10.667109308477915,-6.847313926118648,4.014260041193153
-10.667109308477915,-6.615229023780513,1.2741012707971633
-10.667109308477915,-6.383144121442377,1.2741012707971542
-10.667109308477915,-6.1510592191042415,2.2854123434405373
-10.667109308477915,-5.454804512089835,1.2741012707971542
-10.667109308477915,-5.2227196097516995,4.014260041193163
-10.36295729448586,-10.096502558852546,4.014260041193153
-10.36295729448586,-8.471908242485597,4.014260041193153
-10.36295729448586,-8.239823340147463,2.2854123434405373
-10.36295729448586,-7.543568633133055,4.014260041193153
-10.36295729448586,-7.31148373079492,1.2741012707971542
-10.36295729448586,-7.0793988284567835,1.2741012707971633
-10.36295729448586,-6.615229023780513,4.014260041193163
-10.36295729448586,-6.383144121442377,4.014260041193153
-10.36295729448586,-5.918974316766105,1.2741012707971633
-10.36295729448586,-5.68688941442797,2.2854123434405373
-10.36295729448586,-5.454804512089835,4.014260041193153
-10.36295729448586,-5.2227196097516995,1.2741012707971633
-10.0588052804938,-10.560672363528818,2.2854123434405564
-10.0588052804938,-9.632332754176275,4.014260041193153
-10.0588052804938,-9.400247851838142,4.014260041193153
-10.0588052804938,-9.168162949500005,4.014260041193172
-10.0588052804938,-8.703993144823734,4.014260041193153
-10.0588052804938,-8.471908242485597,4.014260041193153
-10.0588052804938,-8.239823340147463,1.2741012707971542
-10.0588052804938,-7.775653535471191,2.2854123434405467
-10.0588052804938,-7.31148373079492,4.014260041193153
-10.0588052804938,-7.0793988284567835,4.014260041193163
-10.0588052804938,-6.847313926118648,2.2854123434405373
-10.0588052804938,-6.383144121442377,1.910691604933853e-14
-10.0588052804938,-6.1510592191042415,4.014260041193153
-10.0588052804938,-5.68688941442797,4.014260041193153
-10.0588052804938,-5.454804512089835,4.014260041193153
-10.0588052804938,-4.758549805075428,4.014260041193153
-9.754653266501744,-9.864417656514412,4.014260041193153
-9.754653266501744,-9.400247851838142,4.014260041193153
-9.754653266501744,-9.168162949500005,4.014260041193172
-9.754653266501744,-8.936078047161867,4.014260041193153
-9.754653266501744,-8.703993144823734,4.014260041193153
-9.754653266501744,-8.471908242485597,4.014260041193153
-9.754653266501744,-8.239823340147463,4.014260041193153
-9.754653266501744,-8.007738437809326,4.014260041193163
-9.754653266501744,-7.775653535471191,4.014260041193163
-9.754653266501744,-7.543568633133055,1.910691604933853e-14
-9.754653266501744,-7.31148373079492,4.014260041193153
-9.754653266501744,-7.0793988284567835,4.014260041193163
-9.754653266501744,-6.847313926118648,4.014260041193153
-9.754653266501744,-6.615229023780513,2.2854123434405467
-9.754653266501744,-6.383144121442377,4.014260041193153
-9.754653266501744,-5.918974316766105,4.014260041193163
-9.754653266501744,-5.68688941442797,4.014260041193153
-9.754653266501744,-5.454804512089835,2.2854123434405373
-9.754653266501744,-4.990634707413563,4.014260041193153
-9.754653266501744,-4.758549805075428,4.014260041193153
-9.450501252509685,-10.096502558852546,4.014260041193153
-9.450501252509685,-9.168162949500005,2.2854123434405564
-9.450501252509685,-8.703993144823734,4.014260041193153
-9.450501252509685,-8.007738437809326,2.2854123434405467
-9.450501252509685,-7.775653535471191,4.014260041193163
-9.450501252509685,-7.31148373079492,4.014260041193153
-9.450501252509685,-7.0793988284567835,2.2854123434405467
-9.450501252509685,-6.847313926118648,4.014260041193153
-9.450501252509685,-6.383144121442377,4.014260041193153
-9.450501252509685,-6.1510592191042415,4.014260041193153
-9.450501252509685,-5.68688941442797,4.014260041193153
-9.450501252509685,-3.830210195722885,4.014260041193153
-9.450501252509685,-2.4377007816940717,4.014260041193153
-9.14634923851763,-10.560672363528818,4.014260041193172
-9.14634923851763,-10.096502558852546,4.014260041193153
-9.14634923851763,-8.936078047161867,4.014260041193153
-9.14634923851763,-8.703993144823734,2.2854123434405373
-9.14634923851763,-8.239823340147463,2.2854123434405373
-9.14634923851763,-7.543568633133055,1.2741012707971542
-9.14634923851763,-7.0793988284567835,4.014260041193163
-9.14634923851763,-6.847313926118648,2.2854123434405373
-9.14634923851763,-6.615229023780513,4.014260041193163
-9.14634923851763,-6.383144121442377,4.014260041193153
-9.14634923851763,-6.1510592191042415,4.014260041193153
-9.14634923851763,-5.918974316766105,4.014260041193163
-9.14634923851763,-5.454804512089835,2.2854123434405373
-9.14634923851763,-5.2227196097516995,4.014260041193163
-9.14634923851763,-4.758549805075428,2.2854123434405373
-9.14634923851763,-4.526464902737292,4.014260041193163
-8.842197224525572,-10.792757265866953,4.014260041193139
-8.842197224525572,-9.400247851838142,4.014260041193139
-8.842197224525572,-8.471908242485597,4.014260041193139
-8.842197224525572,-8.239823340147463,4.014260041193139
-8.842197224525572,-8.007738437809326,2.2854123434405325
-8.842197224525572,-7.775653535471191,4.014260041193148
-8.842197224525572,-6.615229023780513,4.014260041193148
-8.842197224525572,-6.383144121442377,1.2741012707971389
-8.842197224525572,-6.1510592191042415,4.014260041193139
-8.842197224525572,-5.918974316766105,0.5565646456879164
-8.842197224525572,-5.68688941442797,1.2741012707971389
-8.842197224525572,-5.2227196097516995,4.014260041193148
-8.842197224525572,-4.990634707413563,4.014260041193139
-8.842197224525572,-2.9018705863703422,4.014260041193139
-8.842197224525572,0.5794029487016914,4.0142600411931575
-8.538045210533515,-11.02484216820509,4.014260041193167
-8.538045210533515,-8.007738437809326,4.014260041193176
-8.538045210533515,-7.543568633133055,1.274101270797168
-8.538045210533515,-7.31148373079492,4.014260041193167
-8.538045210533515,-7.0793988284567835,4.014260041193176
-8.538045210533515,-6.847313926118648,4.014260041193167
-8.538045210533515,-6.1510592191042415,2.285412343440552
-8.538045210533515,-5.2227196097516995,4.014260041193176
-8.538045210533515,-4.990634707413563,4.014260041193167
-8.538045210533515,-4.758549805075428,4.014260041193167
-8.538045210533515,-4.526464902737292,2.285412343440561
-8.538045210533515,-2.669785684032207,4.014260041193167
-8.233893196541457,-9.864417656514412,2.2854123434405227
-8.233893196541457,-9.400247851838142,4.014260041193139
-8.233893196541457,-8.239823340147463,4.014260041193139
-8.233893196541457,-7.775653535471191,4.014260041193148
-8.233893196541457,-7.543568633133055,4.014260041193139
-8.233893196541457,-7.31148373079492,2.2854123434405227
-8.233893196541457,-7.0793988284567835,4.014260041193148
-8.233893196541457,-6.847313926118648,4.014260041193139
-8.233893196541457,-6.615229023780513,4.014260041193148
-8.233893196541457,-6.383144121442377,4.014260041193139
-8.233893196541457,-5.68688941442797,4.014260041193139
-8.233893196541457,-4.294380000399157,4.014260041193139
-8.233893196541457,-2.9018705863703422,4.014260041193139
-7.9297411825493995,-8.936078047161867,4.01426004119316
-7.9297411825493995,-8.703993144823734,4.01426004119316
-7.9297411825493995,-8.471908242485597,4.01426004119316
-7.9297411825493995,-6.847313926118648,4.01426004119316
-7.9297411825493995,-5.918974316766105,4.01426004119317
-7.9297411825493995,-5.454804512089835,4.01426004119316
-7.9297411825493995,-5.2227196097516995,2.285412343440554
-7.9297411825493995,-4.990634707413563,4.01426004119316
-7.9297411825493995,-4.526464902737292,4.01426004119317
-7.9297411825493995,-3.59812529338475,4.01426004119316
-7.9297411825493995,-3.133955488708478,4.01426004119317
-7.9297411825493995,-1.9735309770178002,4.014260041193179
-7.9297411825493995,-1.0451913676652582,4.01426004119316
-7.625589168557342,-9.168162949500005,4.014260041193172
-7.625589168557342,-8.936078047161867,4.014260041193153
-7.625589168557342,-8.703993144823734,4.014260041193153
-7.625589168557342,-8.471908242485597,4.014260041193153
-7.625589168557342,-7.775653535471191,4.014260041193163
-7.625589168557342,-7.31148373079492,2.2854123434405373
-7.625589168557342,-6.615229023780513,1.2741012707971633
-7.625589168557342,-6.1510592191042415,4.014260041193153
-7.625589168557342,-5.918974316766105,4.014260041193163
-7.625589168557342,-5.2227196097516995,4.014260041193163
-7.625589168557342,-4.990634707413563,4.014260041193153
-7.625589168557342,-4.294380000399157,4.014260041193153
-7.625589168557342,-3.59812529338475,4.014260041193153
-7.625589168557342,-2.9018705863703422,4.014260041193153
-7.625589168557342,-1.9735309770178002,4.014260041193172
-7.625589168557342,-1.5093611723415288,4.014260041193153
-7.625589168557342,0.8114878510398276,4.014260041193153
-7.3214371545652845,-10.560672363528818,4.014260041193172
-7.3214371545652845,-10.328587461190683,4.014260041193153
-7.3214371545652845,-10.096502558852546,4.014260041193153
-7.3214371545652845,-9.864417656514412,4.014260041193153
-7.3214371545652845,-8.936078047161867,2.2854123434405373
-7.3214371545652845,-8.471908242485597,4.014260041193153
-7.3214371545652845,-8.239823340147463,2.2854123434405373
-7.3214371545652845,-8.007738437809326,2.2854123434405467
-7.3214371545652845,-6.847313926118648,4.014260041193153
-7.3214371545652845,-1.741446074679664,4.014260041193153
