PC,eigenvalue
PC1,43.71767252993516
PC2,24.90798882440234
PC3,14.053838707621843
PC4,12.211200476201935
PC5,10.301407646761723
PC6,9.198900548333501
PC7,8.750600934940802
PC8,8.466329893023604
PC9,7.66178993086763
PC10,7.395187266786112
