frame,PC1,PC2,cluster
0,6.706718242516201,4.750355396415223,2
1,6.999812986809181,4.612310027914923,2
2,6.046361615617825,3.8114232412916667,2
3,8.397198559263387,2.256342517426306,2
4,7.457937050296891,3.3045197600778256,2
5,8.514900277866598,1.477746641270501,2
6,5.84030492212717,2.8315735383228637,2
7,7.752886153677842,6.158963569946718,2
8,8.362041729813107,3.5109658752653305,2
9,7.9602235304881654,3.885471477856444,2
10,6.853702109536052,3.809619944373755,2
11,8.171738101629652,4.924811984616607,2
12,6.897218071477489,8.369564356733106,2
13,6.755790345858371,2.6281574694666068,2
14,5.622983863566182,3.7378741284154158,2
15,7.686810576801792,5.744535777583872,2
16,9.09031241566747,4.979960729592071,2
17,8.191524426266074,3.8103282734034503,2
18,5.616646016333851,3.162227080821467,2
19,6.219876953543012,5.081445914334732,2
20,7.159957668559161,4.966110692950117,2
21,5.9721263620185,1.823287878801348,2
22,6.671095127020111,4.510774733173919,2
23,9.351632675844623,3.967848585143359,2
24,9.632900830297466,1.5625189927686223,2
25,7.664167527731123,0.42247838272113286,2
26,5.969609126555371,2.390468905417735,2
27,7.848178333573615,1.3702258612111302,2
28,8.988883086649437,1.9372467278048289,2
29,9.828486020979355,-1.2335889049764879,2
30,6.95841002155925,1.5177362592784838,2
31,5.5584828100758505,-0.8040435013149597,2
32,9.197645381307929,3.2566373060164775,2
33,7.08772570874143,2.1635237035394588,2
34,8.821613143528301,2.240042120841411,2
35,7.563198877212184,3.132301940458581,2
36,6.673898807679186,1.3707587364199356,2
37,10.450249848640551,0.8114710490984217,2
38,9.561780185847772,2.21452382123372,2
39,8.69135401932137,-0.7486976447802454,2
40,6.562552018451103,0.807483090037879,2
41,6.620244165506327,4.518639673464204,2
42,9.058931119499814,3.9766698830112124,2
43,8.399758206096227,4.418479696400702,2
44,9.981180671133766,3.05010779947772,2
45,9.158978090232923,2.5466889137581754,2
46,10.968967346340184,3.070951562623235,2
47,9.98896529861101,3.154356515180248,2
48,11.126413118664802,2.306799529872258,2
49,10.379738039955486,1.7894762786676268,2
50,12.070818633021132,3.1860987297343324,2
51,8.08507609788942,2.613609516789719,2
52,10.4639244105832,3.781960450886189,2
53,10.554130400861876,1.933374720393148,2
54,11.273035200926415,3.159109012178199,2
55,10.838581784359999,2.0061692870022636,2
56,10.992844087931877,1.8680646595877002,2
57,10.246552742797709,2.9745467160504324,2
58,11.300514215798527,1.2241329994426533,2
59,13.254575266431356,1.6623185406408658,2
60,9.301478872312748,2.3179971467493283,2
61,9.40221053484059,0.4936723861552191,2
62,12.373708274532566,0.28816340272223123,2
63,10.52160995841588,1.2097550894550844,2
64,12.259380035744766,0.8993758790182382,2
65,12.331224174695786,1.5433830615838062,2
66,13.033231329153896,2.5256081227100364,2
67,11.04705848203004,-0.2923831502849195,2
68,10.698070595313851,2.7084532270452573,2
69,12.85689118916115,-0.07465669085156464,2
70,12.840293704129044,1.1705189351558987,2
71,10.148673791350058,4.090744538324382,2
72,11.700354743238027,2.0149009721531543,2
73,13.13534928785987,0.8130834305113909,2
74,11.078699333905769,0.24605317389914047,2
75,10.101152281091991,2.1388819522236115,2
76,12.78623842876726,0.9678362894405367,2
77,9.564109551033914,3.451709507362217,2
78,12.422095426967838,3.3237886256144566,2
79,10.835184259015806,1.677558198342482,2
80,12.705233674313195,1.4584415471856902,2
81,12.138630887425633,2.2118089456679835,2
82,10.80792648147277,0.442271831498151,2
83,10.361421593840676,0.8661267205796926,2
84,10.540268061364188,1.207060914291141,2
85,11.96314421851011,3.1150651840896795,2
86,12.096048602817273,2.3261803739838864,2
87,10.01542182669254,2.1822018965827947,2
88,12.109686616518001,1.4820718079291806,2
89,10.993641215088218,-0.6005218213331904,2
90,11.10609724535719,0.7471880182879926,2
91,9.875761381727907,2.4791717413400924,2
92,10.898870945884434,3.9810037178294944,2
93,10.412404490705931,1.3589713812420767,2
94,10.693761545077743,1.44029760661258,2
95,9.894535273675194,2.0296279571324662,2
96,11.182292782027178,1.7598512310831544,2
97,11.883908220510321,2.3576826810109712,2
98,10.549046832082073,1.0070068892906932,2
99,10.80636835821923,3.8637390664200066,2
100,11.656002335562588,2.588742174049186,2
101,10.600176028371711,3.42327947119991,2
102,10.177032903391147,3.0200549481220005,2
103,12.344537117535692,-0.7809337557437419,2
104,10.373374002269063,-0.015134664161115072,2
105,11.075387719343986,1.6849387011767676,2
106,12.160350350596987,-0.2810405516058135,2
107,12.745525302277807,1.8406915839942648,2
