frame,PC1,PC2,cluster
0,12.596256781633953,-3.938936141211343,2
1,13.618405795982149,-1.5437681187643912,2
2,14.841355764178857,-0.585499742885726,2
3,15.571253818810218,-5.7506553934618925,2
4,15.64909286114722,-2.9498480203552315,2
5,16.616059252489414,-4.711865027432684,2
6,17.440375308421075,-7.282460812461471,2
7,15.122485242802167,-3.0270209004548585,2
8,15.219413472024543,-4.377325905189309,2
9,15.83151729762951,-3.6094000722536843,2
10,18.544581210074742,-5.775494395033912,2
11,17.60290591650285,-4.091463937045858,2
12,18.29837255375866,-3.587909560279833,2
13,20.456924016969314,-3.683057797913248,2
14,19.046359657681364,-3.8222743244979966,2
15,17.31929136828745,-3.719077510565486,2
16,19.313448813071275,-3.2391870036399717,2
17,17.36775484271915,-1.7310449987070524,2
18,17.31719553902961,-3.9094394076869845,2
19,17.332597512974772,-2.11367302435264,2
20,15.12621748927114,-0.8249381130105892,2
21,16.266667485190492,-3.9184403695553276,2
22,16.20593762762539,-1.4020565064248591,2
23,18.46748151237996,-0.4628098049711595,2
24,16.69952912768863,-2.538396905888436,2
25,17.079500257376743,-1.0388791406625937,2
26,16.856188978862676,-1.618228777122235,2
27,20.711517770356714,-0.171479781331622,2
28,18.34757462149079,-0.03070274311943883,2
29,16.845657820741437,-1.8946425236341435,2
30,17.711393040619992,-1.9599111470388921,2
31,18.23294379050137,0.4544510995705963,2
32,18.795445865403867,-0.7792274330372405,2
33,18.473378467378364,-0.6581747105467636,2
34,16.069884332829087,0.13397073908190593,2
35,19.454253820740504,1.620437013541771,2
36,17.107561067571332,0.6305663136174073,2
37,18.693324156760223,0.19545691278881575,2
38,19.840491829952292,0.5952252707253263,2
39,18.617696024044392,-1.061934486129185,2
40,19.55137773799044,-2.401460955984998,2
41,18.21738808835496,-3.3999839127204283,2
42,19.70274583372719,-2.6538893277069646,2
43,18.139044728004706,-2.918102960794817,2
44,17.13296468439454,-0.46909507863835515,2
45,15.499465930171102,-0.7966602851565016,2
46,15.794473849376391,-0.2909122466462187,2
47,18.751057869494907,-2.6783806269864536,2
48,18.11231173344229,-1.4309109493391927,2
49,18.95050218602185,-4.072419537032659,2
50,16.253752514739613,-5.805415874486404,2
51,16.859078265226426,-5.634433917181747,2
52,16.551337556305167,-4.992788485451422,2
53,15.89746614635422,-6.872006204592327,2
54,17.536819725325955,-6.856192399845877,2
55,16.24555507169037,-5.935663383428702,2
56,15.798986536787668,-3.8315872295221616,2
57,14.690433412929568,-4.389926032067135,2
58,17.34784588374946,-5.302952073254384,2
59,15.863028093498226,-2.710013151899725,2
60,14.646145216112455,-4.042662156319564,2
61,12.77086700559541,-4.72021808513423,2
62,15.489174902055941,-4.404713711848968,2
63,14.684856744318882,-4.7515747014249055,2
64,13.605454219094673,-5.856944042773608,2
65,12.821371849830028,-5.661725443944318,2
66,10.699211017133964,-4.37986972957769,2
67,13.165622960356332,-3.7333872112886346,2
68,16.102644735321775,-6.37627900758747,2
69,13.264184448048228,-5.5626878452733735,2
70,15.339073394030734,-4.083519430731497,2
71,17.636385050988782,-5.632842919321267,2
72,20.4495891395831,-5.3566231760380125,2
73,16.267292683869176,-3.075450751957631,2
74,15.986804259965794,-3.931954642431554,2
75,15.665885933753197,-4.057198191469786,2
76,15.480955763267357,-5.811034151188882,2
77,17.112144241726643,-5.533241501611901,2
78,15.951446195201907,-7.661558423593137,2
79,17.609797317782522,-5.836289225288616,2
80,15.356826618732272,-3.0133344793128334,2
81,17.848816040560266,-4.538499891254438,2
82,16.21550938852445,-6.252025895743031,2
83,14.585945302886842,-6.152719155004328,2
84,15.535687792215418,-7.658247997240494,2
85,12.864132095572746,-5.636522452873147,2
86,14.633746775853213,-4.192129906831824,2
87,14.784030753389263,-6.174129808305808,2
88,14.207346650490425,-2.157826598205894,2
89,13.62340270457557,-5.588069014094746,2
90,11.767200386489069,-3.2158947065514427,2
91,14.04661057226719,-2.8539843644247114,2
92,13.207807072627935,-3.173318166551668,2
93,12.04610034184482,-3.109694359323574,2
94,12.80176135649042,-3.6126745997633485,2
95,14.593898439820846,-4.913817488235725,2
96,11.70467747791699,-2.363872082728452,2
97,12.946375223575396,-2.3467484234816283,2
98,13.014757820712282,-3.743507184786787,2
99,12.070773926060497,-4.719466454823563,2
100,13.02401039099623,-4.153293515583009,2
101,11.142986352864556,-3.863142442364307,2
102,11.946226974364118,-5.276989725341969,2
103,13.703985788888275,-2.6230970669352605,2
104,12.277393552233585,-3.68523471156436,2
105,12.244276616181187,-4.768863334671185,2
106,11.70883152168082,-4.148803489791148,2
107,9.28250282593248,-6.34922522502867,2
108,12.20982709436059,-3.9402568679683903,2
109,10.968340711089049,-4.772547059881411,2
110,11.078212546073928,-3.5104545124644857,2
111,11.821778174035451,-3.585787801162717,2
112,11.108685300430812,-3.0720923030245553,2
113,11.719597777274172,-5.72887134404467,2
114,9.820920590883485,-5.814639514243021,2
115,12.481473040293492,-4.216035882122233,2
116,10.915088575822724,-4.939183287220475,2
117,11.602835885176878,-3.725997266010941,2
118,9.816819236063889,-4.260982085732429,2
119,12.320024496857217,-3.3359625455045783,2
120,9.82939193827297,-2.0383236664225715,2
121,10.894705933733299,-3.598876744125569,2
122,10.36576247240058,-2.4214577844822984,2
123,11.800342164808413,-4.039220126387343,2
124,11.639330684169993,-3.8654203863122505,2
125,9.11847625119344,-2.3457638525638247,2
126,10.850033806371956,-3.9273361991363296,2
127,9.548685918401416,-2.9225017490218006,2
128,10.359450855845802,-4.4094289733795256,2
129,10.14698128308958,-1.1643027994069042,2
130,8.759126077024458,-0.6248139833097546,2
131,9.37007820550876,0.7216240716806844,2
132,8.196647177092645,-1.3822835459097442,2
133,10.525193617696955,-3.2022983126112345,2
134,9.53509578615999,-0.6644042149887772,2
135,9.16306088864545,-1.4065562127797206,2
136,9.618187962041565,-3.0059731823039155,2
137,9.443921190693215,-3.1123902713974863,2
138,9.677170374284719,-1.7219696326497902,2
139,7.838882628426728,-2.7611653219359584,2
140,11.197917825493775,-1.8860632920615787,2
141,9.99857570696762,-2.2863989939800207,2
142,10.963476836278923,-2.3215002824331727,2
143,11.626024881553578,-2.9967644111877223,2
144,10.862237236796224,-3.2788105671943755,2
145,9.327753850168458,-2.7822376881109583,2
146,11.805826469687105,-3.0546548900350956,2
147,10.615668983208455,-5.033308244892167,2
148,8.982225725742639,-1.0504868010771793,2
149,8.342205066419071,-3.360999443056623,2
150,10.563693629749618,-1.4423476637902546,2
151,8.547820024589091,-3.9386421096175663,2
152,9.465931750369002,-2.741990282584831,2
153,9.575091640390287,-2.0959501547980577,2
154,8.386843128485717,-1.735808043329725,2
155,6.645583359954118,-1.2207975477712687,2
156,8.865713582033143,-1.8858083610118923,2
157,8.334791924042813,-1.6105605494347135,2
158,9.471080070726567,-1.6614247288873703,2
159,8.217808589848016,-0.1909582522513243,2
160,5.480158503285367,-1.2279096325448606,2
161,6.216709319422268,-2.6787691118964077,2
162,4.249006879458579,-1.2485863450412986,0
163,6.435628194070701,-1.858470230102939,2
164,5.390019518358694,-1.1173594412470087,2
165,3.7714303204976014,-1.584355140187692,0
166,7.54571979350036,-0.7073747932229122,2
167,7.489193230844769,-1.5769312256080017,2
168,5.6230655874700455,-0.47301212788174296,2
169,6.093878321158722,-2.2868094125446445,2
170,6.005993850845398,-0.45344942666499893,2
171,6.669596848422054,-2.1320420758654413,2
172,7.219981060986265,-1.8061680324123253,2
173,5.526865443816777,-2.681064571389856,2
174,7.312662948930038,-0.889900827147163,2
175,6.383102208011104,-0.2422414557980528,2
176,5.357989066355514,-0.9391410951931568,2
177,6.726382411927769,-0.17014988832476727,2
178,6.3944442679999645,-0.8851046004410714,2
179,6.183228583821443,-1.4765359106686453,2
180,6.220023996093938,-1.8481626860827771,2
181,6.788854647472557,0.8378130301989611,2
182,7.783923034428886,-0.6975815793963367,2
183,4.8891755549196585,-0.40314626195251074,0
184,5.585754953458339,-1.2201154475227955,2
185,6.485446720088886,-2.569694163593628,2
186,5.21916768544099,-2.7083351126311235,2
187,3.82810888377344,-0.4671398747717288,0
188,2.81050630033304,-1.4614328630541713,0
189,1.2229688413068576,-1.662142015905435,0
190,3.9842022654421183,-3.457783217535918,2
191,5.555763656787091,-3.717471990338318,2
192,1.0032442045062977,-2.7910699829183345,1
193,2.9628623786027446,-1.5607474475413028,0
194,1.5939185016791868,-3.284487396480656,1
195,-0.33524659732233525,-2.416708462689524,1
196,0.028629599324172285,-0.048331699598548064,0
197,0.14661037302212532,-1.3075252267764539,1
198,-1.2377149693349883,-0.5084608261662401,1
199,1.0673023902833378,-1.0199725667851274,0
200,1.0709283803809624,2.087566962390546,0
201,2.08089219681518,0.17101594536502823,0
202,2.5347639503627857,2.20272162354245,0
203,3.402406730826253,0.62611540074594,0
204,1.2580479133849332,1.246655172598828,0
205,2.468553255978679,2.671386287438471,0
206,2.807145053831685,1.271405937699311,0
207,2.224430794932818,1.3989022645604234,0
208,3.9044654887590795,-0.9177049591904396,0
209,-0.039351129160359426,-0.645121743037822,0
210,0.8547007543021095,-1.9070531494535277,1
211,2.4717785595039716,-0.7509319013282402,0
212,1.9674795310241449,1.1915819155120408,0
213,3.151346941011926,0.007226501936943814,0
214,0.6891161187597525,0.4565373010902512,0
215,2.4028087885287324,-0.481994641713407,0
216,2.451271067907393,0.4527230683739347,0
217,2.502330833999922,0.2851509487621809,0
218,2.399910908020654,0.4790899934868327,0
219,2.021601949752109,-0.004239407511032841,0
220,2.008974194185449,-0.9629698008733001,0
221,2.8358512014508817,0.9901871813754728,0
222,2.817610641921233,-1.3081037719917903,0
223,3.5067926315806046,0.3580287404003422,0
224,4.816942796034427,-1.0234585155169644,0
225,3.231846200936921,0.32958597832770287,0
226,1.00587142197445,-1.75569764366597,1
227,0.4870079314248077,-2.342778641589961,1
228,1.4808953344471463,1.4682603911015866,0
229,0.8122606664241747,-0.2835454725444313,0
230,0.3584268980818028,1.9229459139128642,0
231,0.22302011971197633,0.8458290037612788,0
232,-0.017505842406156102,2.806275813031177,0
233,-0.4582971270350164,1.247176348221627,0
234,-2.089061199956689,2.049763742445252,0
235,0.3617159355467649,2.659453623880318,0
236,-0.49191572611590634,3.876404899866114,0
