frame,PC1,PC2,cluster
0,-14.415217789677172,8.377925076857757,2
1,-14.049461389206538,5.996948124902051,2
2,-14.123176843147368,7.5523423463212636,2
3,-14.067579988295746,7.144212938215059,2
4,-14.26514023449146,6.363123081950711,2
5,-15.95532179833943,6.119451560868407,2
6,-12.51702862302919,6.2276737401353515,2
7,-17.1518461402482,7.5296389324065185,2
8,-15.476203126047634,11.04663590108847,2
9,-14.231907805621839,11.174079769845395,2
10,-15.58956099118896,9.912211659940382,2
11,-15.194887121863752,10.703948229259032,2
12,-14.320092480695685,10.260762649047614,2
13,-15.365145303551818,10.786684937892755,2
14,-14.855202814668614,10.38597507762586,2
15,-17.90064003273711,13.665578808768272,2
16,-15.865383815405869,12.183843528721681,2
17,-18.445393003352777,9.6420681308417,2
18,-15.991657690267608,8.413592836282913,2
19,-16.09455761076154,11.236439149132703,2
20,-16.63132504873214,10.483332440116643,2
21,-16.34303295399241,10.684797551284147,2
22,-16.825303947007633,12.211345769259404,2
23,-17.068950534092554,12.786665228856558,2
24,-16.61785535351516,9.350520013461914,2
25,-14.497072733797458,9.253131628023835,2
26,-18.798020029356604,10.952422582804548,2
27,-16.937091728312467,12.490492463826056,2
28,-16.347921228640345,12.220346473685206,2
29,-16.458884208750398,11.762000791419483,2
30,-15.087381777427757,12.366680473756418,2
31,-15.508953138022667,12.602876548007647,2
32,-16.419689997747167,12.80525698934548,2
33,-15.660574250852704,13.15685796060992,2
34,-16.454510764096057,12.330071201223278,2
35,-13.475770270090614,13.88709765054494,2
36,-15.561019117727241,12.784137773054882,2
37,-16.35550703734608,10.237962816822886,2
38,-14.679440868449431,12.590646837436653,2
39,-13.899584996805155,13.229733393494161,2
40,-14.120881244431942,11.413506476614302,2
41,-14.317625770510238,10.427016035718955,2
42,-14.168291554986213,12.155253492736955,2
43,-15.678059811935215,13.040651690769886,2
44,-13.989119553684548,10.906928248754618,2
45,-15.839342078273408,10.2462262947222,2
46,-15.917954322253085,10.55580309473686,2
47,-12.28028099300406,8.175050086811835,2
48,-13.22076394891431,7.744927999034271,2
49,-13.804025949556529,9.17142248729405,2
50,-14.397081067563043,9.560401926797718,2
51,-16.455984586486476,8.41861100330296,2
52,-16.671870354152546,8.115959651465447,2
53,-13.756041450405924,7.6601164425453705,2
54,-15.959427789992539,9.293196206537283,2
55,-13.118741071282077,7.30077346940731,2
56,-13.906280134045666,8.131572851959344,2
57,-12.361622998313383,8.202835959113864,2
58,-12.621226595262755,9.496373145348175,2
59,-12.33706236215216,8.221588863202177,2
60,-12.829054799059445,9.09874612182218,2
61,-14.412204673157822,6.940908139416395,2
62,-11.872864018318856,8.09468155911796,2
63,-12.388376965985636,8.044055680164426,2
64,-14.762761118429463,5.50377013589377,2
65,-12.607832094516251,6.994991567095382,2
66,-14.020475751474336,6.02791081953883,2
67,-14.39764272219545,5.816403915263858,2
68,-14.530471982392331,5.028722127635515,2
69,-14.48060587120997,4.520113344749763,2
70,-13.535963691131169,5.055232608484518,2
71,-13.90423908530361,5.479441063397127,2
72,-12.597961489599415,4.196909092423445,2
73,-14.275884163124616,1.7852001789421774,2
