PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-19.53987481786166,-11.605952504035994,-6.32627178595048,-6.2060575685850985,7.946071318696637,4.638977802430724,-5.245703907027449,-4.937846454962604,-3.95550626752258,5.955527465862766
-19.221130666291806,-12.157650512528654,-8.355395846663743,-6.218576333635139,8.004824093389752,3.0805841261693905,-4.933548880780338,-1.917464884171995,-2.539327687824133,2.775275864518847
-19.933902309902315,-11.25404662355224,-6.393052330769782,-5.623392524212012,6.939746025604936,0.695569121969789,0.8290627456125972,-3.5338098061852348,-2.3105517892466674,-0.5171259447348854
-18.3884068890976,-10.939935912404607,-7.01567008462287,-6.881951493371937,7.610109852102947,4.015129265884471,-0.8461154797117046,-2.459571991561321,-0.8554009476266126,3.163240983809767
-19.982789821182564,-11.690448003621102,-6.354086370701808,-5.616056501207521,7.788326145319467,6.9785715850063195,-3.088418967202779,-2.4428350919692274,-0.6033812130474752,1.2315625304276445
-19.713066744425678,-12.76939313317665,-7.227069608290524,-7.452509142063471,8.272427160915091,8.040602673502477,-1.7074369198947013,-2.616197752283098,-2.7965294540758476,3.613964409603701
-19.08045809476817,-10.996824107910863,-6.65152614731956,-8.072463673401192,8.668224006996306,6.956545384775646,-0.529438357861808,-4.307266027444957,-3.0202500491966138,2.841272240531916
-19.241850272124413,-11.459270728409166,-6.14440672923107,-8.500115565135388,10.585163431323883,5.844874712109554,-0.2057475567496481,-3.867478667557644,-3.4403602206094033,3.302038963916029
-21.644952963687484,-11.980623884388896,-6.440648713036038,-9.626158132109678,9.637439099771193,9.25364075668169,-4.248870001866043,-0.3897993966567137,-4.2141634928783205,1.7829334909871926
-21.4263442599467,-11.962026499971634,-6.222556419217616,-7.612214288391701,8.134826046043852,10.023688835627526,-0.813732705877623,-0.6180867516897782,-3.9834202361389797,0.4755266129489611
-20.393108243535607,-12.184463539398699,-6.614475045788661,-8.935823763040366,9.635305996746405,10.707403970429562,-2.198873059443986,-1.496123195050027,-2.664096698972115,5.436442771098138
-21.1883202935769,-11.539802346202986,-7.964028100691881,-6.556789675673614,9.303283560829428,10.577670283633466,-2.6473217505820354,-1.9514452363768602,-4.514082665612159,2.120393180939697
-20.74012536730082,-12.52023744550228,-6.9384677765827645,-8.613137274272473,9.111820310663653,7.6246620290747735,0.1583585221576683,-3.147885350594779,-2.2038168487418703,3.1183225633070597
-18.758221786250935,-10.69336913388539,-6.172502054937375,-7.203261259882622,5.805833984828371,6.299654245770909,-2.507520166922055,1.6480946102380098,-1.9835327360307624,2.8453693064862255
-17.286867821730052,-11.106418368629257,-7.75617189794611,-3.547165504938974,8.295862970873836,11.976366159192555,-2.8041989535869956,-2.1960260703520893,-3.8302989372257046,3.837302786461293
-18.115671552794325,-10.164360598590507,-5.947656248726147,-3.0270045602393747,6.68334087169694,9.862642114252647,-3.4103675761757724,-3.3221290635212224,-4.233783494821989,1.5918629737136774
-20.03946257285484,-10.998556622637633,-7.337805837193273,-4.422611697676771,7.011577374635396,9.589447448134745,-2.3087482508062083,-1.815680022242595,-1.3871278208776048,3.3677245856805627
-17.798936655436165,-9.174234989410088,-7.253016627313911,-5.269254865285922,5.460885034056689,7.060622840876063,-2.906668164242044,-1.9507678099157422,-4.020050791537529,2.3676888690449696
-20.630868346837833,-9.74087965550779,-5.6575446163406236,-3.9733494780874157,5.731237462130086,6.206000805114667,-2.6497720057193948,-2.3329358106281384,-2.7342556990739557,2.155055888558175
-20.635174248554197,-9.774481482865331,-4.446597121633169,-4.743926959966705,3.849799044428528,7.199504582408771,-2.0413013875235473,-0.32650200369564414,-3.343393512166478,5.258664194537788
-19.926794958920908,-10.930223657130393,-6.5125582812740355,-6.615400507254799,8.077775813603337,10.031463026946863,-3.944010371848918,-4.352320387445519,-1.5923761562411922,-0.7356514602764981
-19.354131790206896,-10.414574906923372,-3.121063034248985,-4.448339786196102,6.63735739865461,8.357281987235101,-1.3722147212449722,-2.5554422531433194,-0.12215743832631235,0.1904372393193828
-19.014051813253573,-10.93451897091164,-3.1461110730343154,-4.910990387183789,3.332829017135175,0.7243812690799918,-0.5052775418637397,-2.0560702473278627,1.0948940203187127,-2.0410914684690806
-19.373631245908324,-11.309699337423341,-4.490467671315378,-5.674129927933841,7.296121250354023,6.129818619461444,0.49051818747603443,-1.0672444957559473,1.3738287124458493,-2.4565405824365603
-18.339594893862838,-11.809565779154692,-1.7381148461138898,-3.272728349880378,4.737875653360865,5.647638033860634,-0.039328249052837425,0.3857202986733815,1.3965265980105646,-1.7578223313279087
-17.83518491577263,-11.928230239569942,-3.250497866114751,-3.9177387430228614,5.161237929404132,4.85841639712028,-0.14258284229560517,2.741624483408471,1.4579163144808351,-2.132581894760279
