0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.01634864244580433,,,,,,,,,,0.016348642445804404,,,,,,,,0.01634864244580433,,,,,,,,,,,,0.01634864244580433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.016348642445804237,,,,,0.016348642445804376,,,,,,,,,,,,,,,,,0.032697284891608475,,,0.016348642445804307,,,,,,,0.016348642445804237,,,0.016348642445804237,,0.032697284891608475,,,,0.016348642445804237,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04904592733741293,,,,,,,,,,0.016348642445804237,,0.016348642445804237,0.016348642445804376,0.016348642445804237,,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.016348642445804237,,,,,0.016348642445804307,,0.016348642445804237,,,,,0.016348642445804307,,,0.016348642445804237,,,0.016348642445804237,0.04904592733741271,,0.03269728489160861,0.04904592733741271,,,,0.016348642445804237,,0.016348642445804237,,0.016348642445804237,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.016348642445804286,,,,0.016348642445804286,,,,0.016348642445804286,,,,,0.016348642445804286,,,,0.016348642445804286,,0.03269728489160857,0.016348642445804286,,0.03269728489160857,0.016348642445804286,,0.016348642445804286,0.03269728489160857,,0.016348642445804286,0.04904592733741285,,,0.016348642445804213,0.016348642445804286,,0.016348642445804286,0.04904592733741285,,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.016348642445804286,,,,0.016348642445804286,,,,0.03269728489160829,,0.016348642445804286,,,,0.016348642445804286,0.016348642445804286,0.03269728489160857,0.016348642445804286,0.016348642445804286,,0.016348642445804355,0.03269728489160857,,,0.03269728489160857,0.016348642445804286,0.03269728489160857,,0.016348642445804286,0.016348642445804286,,,,,,0.016348642445804286,,0.04904592733741285,0.04904592733741265,0.016348642445804286,,,0.04904592733741285,0.04904592733741285,0.03269728489160857,,0.016348642445804286,,,0.016348642445804286,,,0.016348642445804286,,,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.016348642445804237,,0.016348642445804376,0.016348642445804095,,,,,,,,0.04904592733741271,0.032697284891608475,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,0.032697284891608475,,0.016348642445804237,0.04904592733741271,0.03269728489160861,0.04904592733741271,,,,0.032697284891608475,,,,0.016348642445804307,0.016348642445804237,,0.016348642445804237,0.016348642445804376,0.06539456978321695,,0.04904592733741271,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804376,,,,,,,,,,,,,,,,,,,,,
,,,0.016348642445804237,,,,,,,,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,,0.016348642445804307,,,0.016348642445804237,0.032697284891608475,0.032697284891608475,0.016348642445804237,0.13078913956643445,0.032697284891608475,0.032697284891608475,,0.032697284891608475,0.06539456978321695,,,0.016348642445804237,0.016348642445804307,0.04904592733741271,0.016348642445804164,0.016348642445804237,0.04904592733741313,0.016348642445804237,,0.032697284891608475,0.032697284891608475,,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.016348642445804376,0.016348642445804237,,0.016348642445804237,,,0.016348642445804237,,,,,0.016348642445804307,,,0.016348642445804237,0.032697284891608475,,0.032697284891608475,,,0.032697284891608475,0.032697284891608475,0.016348642445804237,0.032697284891608475,0.032697284891608475,0.016348642445804237,0.032697284891608475,0.03269728489160861,0.032697284891608475,0.0490459273374125,0.032697284891608475,,,0.016348642445804237,0.016348642445804237,,,,0.016348642445804237,,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.03269728489160857,0.016348642445804286,0.016348642445804286,,0.016348642445804286,0.016348642445804286,,0.016348642445804286,0.016348642445804355,0.016348642445804286,,0.03269728489160857,0.016348642445804286,,0.016348642445804286,,,,0.03269728489160857,0.06539456978321714,,0.016348642445804286,0.016348642445804286,,,0.04904592733741285,0.016348642445804213,0.016348642445804286,0.03269728489160885,,0.016348642445804286,0.016348642445804286,0.016348642445804286,0.03269728489160857,,0.016348642445804286,,,0.016348642445804286,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.016348642445804095,0.016348642445804376,,,,,,0.032697284891608475,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,,0.032697284891608475,0.032697284891608475,,0.016348642445804237,0.016348642445804237,0.032697284891608475,0.032697284891608475,0.016348642445804237,,,0.016348642445804237,,0.032697284891608475,,0.032697284891608475,,0.016348642445804237,,0.016348642445804237,,0.032697284891608475,0.032697284891608475,,,,,0.016348642445804237,,0.016348642445804237,,,,,,0.016348642445804237,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.03269728489160829,,,,0.016348642445804286,,0.016348642445804286,,,,0.04904592733741285,,0.016348642445804355,0.016348642445804286,0.03269728489160857,0.03269728489160857,,0.016348642445804286,,0.016348642445804355,0.016348642445804286,0.04904592733741285,,,,,,0.03269728489160857,,0.03269728489160857,0.016348642445804213,,0.016348642445804425,,,,,,0.03269728489160857,,,0.016348642445804286,,,,0.016348642445804286,,0.016348642445804425,,,,,,,,,,,,,,,,,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.016348642445804237,,,,,,,,,,,,0.032697284891608475,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,,0.016348642445804237,0.016348642445804237,0.016348642445804237,,0.016348642445804237,,,0.016348642445804237,0.016348642445804237,0.016348642445804237,0.016348642445804237,,,,,,,0.016348642445804164,0.016348642445804237,,,,0.032697284891608475,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.04904592733741293,0.016348642445804237,0.016348642445804237,,,,,0.016348642445804307,0.016348642445804237,0.016348642445804237,,,0.016348642445804237,,,0.016348642445804237,,,0.016348642445804164,,,,,0.016348642445804237,,0.016348642445804237,,,,,,,,,,,,,,,,0.016348642445804237,,0.016348642445804237,,,,,,,,,,,0.032697284891608475,,,,,,,,0.016348642445804095,,,,,,0.016348642445804095,,,,,,,,,,,
,,,,,,,,,0.016348642445804425,,,,,,,,,,,,,0.016348642445804286,,,,,,,,0.016348642445804286,,,,,,0.016348642445804355,,0.016348642445804213,,0.016348642445804425,,,0.016348642445804286,,,,0.016348642445804286,,,,,,,,,,,,,,0.016348642445804286,,,0.016348642445804286,,,,,,,,,,0.016348642445804286,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.016348642445804237,,0.016348642445804237,0.016348642445804237,,,,,,,,,,0.016348642445804237,,,,,0.016348642445804237,,0.032697284891608475,,,,0.016348642445804307,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,0.016348642445804237,,,,0.016348642445804237,0.016348642445804237,,,,,,,,0.016348642445804376,,,,,,0.016348642445804376,,,0.016348642445804376,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,0.016348642445804286,,,,,,,0.016348642445804286,,,,,,,,,,,,,,,,,,,,,,0.016348642445804286,0.016348642445804286,,0.016348642445804286,0.016348642445804425,0.03269728489160857,0.016348642445804286,,,,,0.016348642445804144,,0.016348642445804425,0.016348642445804144,0.03269728489160885,,0.016348642445804425,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,0.016348642445804237,,0.016348642445804376,,0.016348642445804237,,,,,0.016348642445804095,,0.016348642445804376,,,0.016348642445804095,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,0.016348642445804237,0.032697284891608475,,0.016348642445804237,,,,,,0.016348642445804095,0.016348642445804376,,,0.016348642445804376,,,,0.016348642445804376,0.016348642445804095,0.016348642445804376,0.03269728489160819,,,0.04904592733741313,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804286,,,,0.016348642445804286,,,,,,,,,,0.016348642445804286,,0.016348642445804144,0.016348642445804425,0.016348642445804144,0.016348642445804425,,0.049045927337412434,,0.016348642445804144,0.016348642445804425,0.016348642445804144,,0.016348642445804144,0.016348642445804425,,,,0.016348642445804425,0.016348642445804144,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016348642445804237,,,0.016348642445804237,,0.016348642445804237,,,,,,0.016348642445804237,0.016348642445804237,,,,,0.016348642445804237,,0.016348642445804237,0.016348642445804095,0.016348642445804376,0.016348642445804095,,0.03269728489160875,0.06539456978321638,,,0.016348642445804376,0.016348642445804095,0.016348642445804376,,,0.016348642445804095,0.016348642445804376,,0.016348642445804376,,,0.016348642445804376,,,
