PC1,PC2,delta_G
-8.843940671068193,-3.375133241930441,5.186543093257858
-8.54690088773729,0.9449180394388712,5.1865430932578365
-8.249861104406387,-6.872317612562742,5.186543093257844
-8.249861104406387,-4.815150335720212,5.186543093257832
-8.249861104406387,-3.169416514246188,5.186543093257844
-8.249861104406387,-0.7008157820351526,5.186543093257844
-7.952821321075484,-5.432300518772971,5.186543093257858
-7.65578153774458,-9.958068527826537,5.186543093257858
-7.65578153774458,-8.929484889405272,5.1865430932578365
-7.65578153774458,-5.432300518772971,3.457695395505242
-7.65578153774458,-4.815150335720212,5.186543093257847
-7.65578153774458,-3.375133241930441,5.186543093257858
-7.65578153774458,-2.7579830588776826,5.186543093257858
-7.65578153774458,-2.3465496035091755,3.457695395505242
-7.65578153774458,-1.523682692772165,5.186543093257858
-7.65578153774458,-1.1122492374036588,5.186543093257858
-7.358741754413676,-4.815150335720212,2.446384322861847
-7.358741754413676,-2.7579830588776826,5.186543093257858
-7.358741754413676,-2.3465496035091755,5.186543093257858
-7.358741754413676,-2.1408328758249233,5.1865430932578365
-7.358741754413676,-1.9351161481406711,5.186543093257858
-7.358741754413676,-1.523682692772165,5.186543093257858
-7.358741754413676,-0.9065325097194057,5.186543093257858
-7.358741754413676,-0.7008157820351526,5.186543093257858
-7.358741754413676,0.5334845840703659,5.186543093257858
-7.061701971082772,-7.283751067931248,5.186543093257858
-7.061701971082772,-6.255167429509983,5.186543093257847
-7.061701971082772,-5.843733974141477,5.186543093257858
-7.061701971082772,-4.815150335720212,5.186543093257847
-7.061701971082772,-4.198000152667453,5.186543093257858
-7.061701971082772,-3.580849969614694,5.186543093257858
-7.061701971082772,-3.375133241930441,2.4463843228618583
-7.061701971082772,-2.9636997865619352,3.4576953955052314
-7.061701971082772,-2.7579830588776826,2.4463843228618583
-7.061701971082772,-1.9351161481406711,5.186543093257858
-7.061701971082772,-1.523682692772165,5.186543093257858
-7.061701971082772,-1.1122492374036588,5.186543093257858
-7.061701971082772,-0.7008157820351526,5.186543093257858
-6.764662187751869,-9.135201617089525,5.18654309325785
-6.764662187751869,-8.312334706352512,5.18654309325785
-6.764662187751869,-7.489467795615501,5.18654309325785
-6.764662187751869,-6.4608841571942355,5.18654309325785
-6.764662187751869,-5.638017246457224,5.18654309325785
-6.764662187751869,-5.226583791088718,3.4576953955052345
-6.764662187751869,-5.020867063404465,5.18654309325785
-6.764662187751869,-4.6094336080359595,3.4576953955052345
-6.764662187751869,-4.403716880351706,5.18654309325785
-6.764662187751869,-3.9922834249832,5.18654309325785
-6.764662187751869,-3.786566697298947,3.4576953955052345
-6.764662187751869,-3.375133241930441,5.18654309325785
-6.764662187751869,-3.169416514246188,2.4463843228618516
-6.764662187751869,-2.552266331193429,5.186543093257861
-6.764662187751869,-2.3465496035091755,5.18654309325785
-6.764662187751869,-1.9351161481406711,5.18654309325785
-6.764662187751869,-1.729399420456418,2.4463843228618516
-6.764662187751869,-1.1122492374036588,5.18654309325785
-6.467622404420965,-10.369501983195043,5.18654309325785
-6.467622404420965,-9.546635072458031,5.18654309325785
-6.467622404420965,-8.723768161721019,3.4576953955052563
-6.467622404420965,-8.312334706352512,5.18654309325785
-6.467622404420965,-7.489467795615501,5.18654309325785
-6.467622404420965,-7.283751067931248,5.18654309325785
-6.467622404420965,-7.078034340246995,3.4576953955052345
-6.467622404420965,-6.872317612562742,5.18654309325785
-6.467622404420965,-6.666600884878489,5.18654309325785
-6.467622404420965,-6.255167429509983,5.18654309325784
-6.467622404420965,-6.04945070182573,3.4576953955052345
-6.467622404420965,-5.432300518772971,3.4576953955052345
-6.467622404420965,-5.226583791088718,5.18654309325785
-6.467622404420965,-5.020867063404465,3.4576953955052345
-6.467622404420965,-4.6094336080359595,5.18654309325785
-6.467622404420965,-4.403716880351706,5.18654309325785
-6.467622404420965,-3.169416514246188,5.18654309325785
-6.467622404420965,-2.7579830588776826,2.4463843228618516
-6.467622404420965,-2.552266331193429,2.4463843228618614
-6.467622404420965,-2.3465496035091755,5.18654309325785
-6.467622404420965,-1.729399420456418,2.4463843228618516
-6.467622404420965,-1.523682692772165,2.4463843228618516
-6.467622404420965,-1.3179659650879119,3.4576953955052345
-6.467622404420965,-0.9065325097194057,5.18654309325785
-6.467622404420965,-0.28938232666664643,5.18654309325785
-6.467622404420965,0.32776785638611283,5.18654309325785
-6.467622404420965,1.1506347671231234,5.18654309325785
-6.170582621090062,-9.340918344773776,5.186543093257858
-6.170582621090062,-8.929484889405272,5.1865430932578365
-6.170582621090062,-8.723768161721019,5.18654309325788
-6.170582621090062,-7.078034340246995,2.4463843228618583
-6.170582621090062,-6.872317612562742,3.457695395505242
-6.170582621090062,-6.666600884878489,5.186543093257858
-6.170582621090062,-6.04945070182573,5.186543093257858
-6.170582621090062,-5.843733974141477,5.186543093257858
-6.170582621090062,-5.638017246457224,3.457695395505242
-6.170582621090062,-5.226583791088718,5.186543093257858
-6.170582621090062,-5.020867063404465,2.4463843228618583
-6.170582621090062,-4.815150335720212,3.4576953955052314
-6.170582621090062,-4.6094336080359595,2.4463843228618583
-6.170582621090062,-3.786566697298947,3.457695395505242
-6.170582621090062,-2.9636997865619352,5.186543093257847
-6.170582621090062,-2.7579830588776826,5.186543093257858
-6.170582621090062,-2.3465496035091755,5.186543093257858
-6.170582621090062,-2.1408328758249233,5.1865430932578365
-6.170582621090062,-1.9351161481406711,1.7288476977526261
-6.170582621090062,-1.523682692772165,2.4463843228618583
-6.170582621090062,-0.08366559898239334,5.186543093257858
-6.170582621090062,5.67640277617669,5.1865430932578365
-5.873542837759158,-9.752351800142282,5.186543093257858
-5.873542837759158,-8.106617978668261,5.186543093257858
-5.873542837759158,-7.900901250984007,5.186543093257858
-5.873542837759158,-7.695184523299754,5.186543093257858
-5.873542837759158,-7.489467795615501,5.186543093257858
-5.873542837759158,-7.283751067931248,5.186543093257858
-5.873542837759158,-7.078034340246995,5.186543093257858
-5.873542837759158,-6.872317612562742,5.186543093257858
-5.873542837759158,-6.666600884878489,5.186543093257858
-5.873542837759158,-6.255167429509983,5.186543093257847
-5.873542837759158,-5.638017246457224,5.186543093257858
-5.873542837759158,-5.432300518772971,3.457695395505242
-5.873542837759158,-5.226583791088718,3.457695395505242
-5.873542837759158,-5.020867063404465,5.186543093257858
-5.873542837759158,-4.815150335720212,-0.0
-5.873542837759158,-4.6094336080359595,3.457695395505242
-5.873542837759158,-4.403716880351706,3.457695395505242
-5.873542837759158,-3.9922834249832,3.457695395505242
-5.873542837759158,-3.786566697298947,1.7288476977526261
-5.873542837759158,-3.169416514246188,5.186543093257858
-5.873542837759158,-2.9636997865619352,5.186543093257847
-5.873542837759158,-2.7579830588776826,2.4463843228618583
-5.873542837759158,-2.552266331193429,5.186543093257868
-5.873542837759158,-2.3465496035091755,5.186543093257858
-5.873542837759158,-2.1408328758249233,2.446384322861837
-5.873542837759158,-1.9351161481406711,5.186543093257858
-5.873542837759158,-1.523682692772165,3.457695395505242
-5.873542837759158,-1.3179659650879119,3.457695395505242
-5.873542837759158,-0.9065325097194057,5.186543093257858
-5.873542837759158,-0.28938232666664643,5.186543093257858
-5.873542837759158,-0.08366559898239334,5.186543093257858
-5.873542837759158,0.12205112870185975,5.186543093257858
-5.576503054428254,-8.518051434036765,5.1865430932578365
-5.576503054428254,-8.312334706352512,5.186543093257858
-5.576503054428254,-7.900901250984007,5.186543093257858
-5.576503054428254,-7.283751067931248,5.186543093257858
-5.576503054428254,-6.255167429509983,5.186543093257847
-5.576503054428254,-5.638017246457224,5.186543093257858
-5.576503054428254,-5.432300518772971,3.457695395505242
-5.576503054428254,-5.020867063404465,3.457695395505242
-5.576503054428254,-4.403716880351706,3.457695395505242
-5.576503054428254,-4.198000152667453,3.457695395505242
-5.576503054428254,-3.9922834249832,5.186543093257858
