PC,eigenvalue
PC1,76.22201733718785
PC2,39.68032555076392
PC3,24.938929419792185
PC4,19.643179872848165
PC5,13.572770679679367
PC6,12.232109931771042
PC7,10.106031092851083
PC8,8.803012977175033
PC9,8.237711809706003
PC10,7.694146104500019
