PC1,PC2,delta_G
-6.7734569151583495,-4.8332894922280065,4.014260041193123
-6.7734569151583495,-3.1619392983029755,4.0142600411931335
-6.7734569151583495,-2.5351829755810886,4.0142600411931335
-6.486492686394274,-5.042208266468634,4.014260041193123
-6.486492686394274,-4.415451943746747,4.014260041193123
-6.486492686394274,-2.744101749821718,4.0142600411931335
-6.486492686394274,-1.699507878618574,4.0142600411931335
-6.1995284576301986,-5.460045814949892,4.014260041193123
-6.1995284576301986,-4.624370717987377,4.0142600411931335
-6.1995284576301986,-4.415451943746747,4.014260041193123
-6.1995284576301986,-3.99761439526549,4.0142600411931335
-6.1995284576301986,-3.579776846784233,2.2854123434405182
-6.1995284576301986,-2.953020524062347,4.014260041193113
-6.1995284576301986,-1.2816703301373167,4.0142600411931335
-5.912564228866123,-7.340314783115551,4.0142600411931335
-5.912564228866123,-5.668964589190521,4.014260041193123
-5.912564228866123,-3.579776846784233,4.0142600411931335
-5.912564228866123,-2.953020524062347,4.014260041193113
-5.912564228866123,-2.32626420134046,2.285412343440497
-5.912564228866123,1.0164361865096003,4.014260041193113
-5.625600000102048,-7.54923355735618,4.014260041193123
-5.625600000102048,-6.504639686153036,4.014260041193123
-5.625600000102048,-5.877883363431149,4.014260041193123
-5.625600000102048,-5.460045814949892,4.014260041193123
-5.625600000102048,-5.251127040709264,2.285412343440507
-5.625600000102048,-4.624370717987377,2.2854123434405182
-5.625600000102048,-4.415451943746747,4.014260041193123
-5.625600000102048,-3.99761439526549,4.0142600411931335
-5.625600000102048,-3.7886956210248615,4.014260041193113
-5.625600000102048,-3.579776846784233,2.2854123434405182
-5.625600000102048,-2.744101749821718,4.0142600411931335
-5.625600000102048,-2.1173454270998313,2.2854123434405182
-5.625600000102048,-1.9084266528592027,4.014260041193113
-5.625600000102048,-1.4905891043779453,2.285412343440497
-5.625600000102048,-0.44599523317480116,4.014260041193113
-5.625600000102048,0.8075174122689717,4.0142600411931335
-5.338635771337972,-8.384908654318696,4.014260041193113
-5.338635771337972,-7.7581523315968095,4.014260041193123
-5.338635771337972,-6.922477234634293,4.014260041193123
-5.338635771337972,-6.504639686153036,4.014260041193123
-5.338635771337972,-4.8332894922280065,4.014260041193123
-5.338635771337972,-4.20653316950612,2.285412343440507
-5.338635771337972,-3.99761439526549,4.0142600411931335
-5.338635771337972,-3.579776846784233,4.0142600411931335
-5.338635771337972,-2.953020524062347,4.014260041193113
-5.338635771337972,-2.744101749821718,4.0142600411931335
-5.338635771337972,-2.32626420134046,4.014260041193113
-5.338635771337972,-2.1173454270998313,4.0142600411931335
-5.338635771337972,-1.2816703301373167,4.0142600411931335
-5.338635771337972,-1.0727515558966871,4.0142600411931335
-5.051671542573897,-7.54923355735618,2.285412343440507
-5.051671542573897,-7.340314783115551,4.0142600411931335
-5.051671542573897,-7.131396008874923,4.014260041193123
-5.051671542573897,-6.713558460393665,4.014260041193123
-5.051671542573897,-6.504639686153036,4.014260041193123
-5.051671542573897,-6.0868021376717785,2.2854123434405182
-5.051671542573897,-5.042208266468634,4.014260041193123
-5.051671542573897,-4.8332894922280065,1.2741012707971235
-5.051671542573897,-4.624370717987377,4.0142600411931335
-5.051671542573897,-4.415451943746747,4.014260041193123
-5.051671542573897,-4.20653316950612,4.014260041193123
-5.051671542573897,-3.99761439526549,2.2854123434405182
-5.051671542573897,-3.7886956210248615,4.014260041193113
-5.051671542573897,-3.579776846784233,4.0142600411931335
-5.051671542573897,-3.370858072543604,4.014260041193113
-5.051671542573897,-3.1619392983029755,4.0142600411931335
-5.051671542573897,-2.953020524062347,4.014260041193113
-5.051671542573897,-2.744101749821718,4.0142600411931335
-5.051671542573897,-2.32626420134046,4.014260041193113
-5.051671542573897,-0.8638327816560585,4.014260041193113
-5.051671542573897,-0.6549140074154298,4.0142600411931335
-5.051671542573897,2.89670515467526,4.0142600411931335
-4.764707313809821,-6.922477234634293,4.014260041193123
-4.764707313809821,-6.504639686153036,1.2741012707971235
-4.764707313809821,-5.460045814949892,4.014260041193123
-4.764707313809821,-4.415451943746747,4.014260041193123
-4.764707313809821,-4.20653316950612,4.014260041193123
-4.764707313809821,-3.99761439526549,4.0142600411931335
-4.764707313809821,-3.579776846784233,1.2741012707971346
-4.764707313809821,-3.370858072543604,2.285412343440497
-4.764707313809821,-3.1619392983029755,4.0142600411931335
-4.764707313809821,-2.1173454270998313,4.0142600411931335
-4.764707313809821,-1.9084266528592027,4.014260041193113
-4.764707313809821,-1.699507878618574,4.0142600411931335
-4.764707313809821,-1.2816703301373167,2.2854123434405182
-4.764707313809821,-0.8638327816560585,4.014260041193113
-4.764707313809821,-0.6549140074154298,4.0142600411931335
-4.477743085045746,-7.967071105837437,4.014260041193123
-4.477743085045746,-7.54923355735618,2.285412343440507
-4.477743085045746,-6.504639686153036,4.014260041193123
-4.477743085045746,-6.295720911912408,4.014260041193123
-4.477743085045746,-6.0868021376717785,4.0142600411931335
