PC1,PC2,delta_G
-13.393435469812356,2.573699932844579,3.457695395505232
-13.121708742592244,2.8469200412179783,1.728847697752616
-13.121708742592244,3.666580366338178,3.457695395505232
-12.849982015372134,3.393360257964778,3.457695395505248
-12.578255288152022,2.8469200412179783,1.728847697752616
-12.578255288152022,4.7594607998317775,3.457695395505232
-12.306528560931913,3.1201401495913776,1.728847697752616
-12.306528560931913,3.393360257964778,3.457695395505248
-12.306528560931913,4.486240691458377,3.457695395505248
-12.0348018337118,-0.9781614760096202,3.457695395505248
-12.0348018337118,0.6611591742307796,1.7288476977526324
-12.0348018337118,1.2075993909775784,3.457695395505248
-12.0348018337118,1.4808194993509787,3.457695395505264
-12.0348018337118,2.3004798244711786,3.457695395505264
-12.0348018337118,3.1201401495913776,3.457695395505248
-11.763075106491687,-1.5246016927564199,3.457695395505248
-11.763075106491687,0.11471895748397909,3.457695395505232
-11.763075106491687,0.38793906585737936,3.457695395505248
-11.763075106491687,0.6611591742307796,3.457695395505232
-11.763075106491687,1.2075993909775784,1.728847697752616
-11.763075106491687,1.754039607724379,1.728847697752616
-11.763075106491687,2.573699932844579,3.457695395505232
-11.763075106491687,2.8469200412179783,3.457695395505232
-11.763075106491687,3.666580366338178,3.457695395505232
-11.763075106491687,5.305901016578577,3.457695395505248
-11.763075106491687,5.5791211249519765,3.457695395505216
-11.491348379271578,0.11471895748397909,3.457695395505232
-11.491348379271578,0.934379282604179,3.457695395505232
-11.491348379271578,1.4808194993509787,3.457695395505248
-11.491348379271578,1.754039607724379,3.457695395505232
-11.491348379271578,2.0272597160977783,1.728847697752616
-11.491348379271578,2.3004798244711786,3.457695395505248
-11.491348379271578,2.573699932844579,1.728847697752616
-11.491348379271578,2.8469200412179783,3.457695395505232
-11.491348379271578,4.486240691458377,3.457695395505248
-11.219621652051465,-0.7049413676362208,3.457695395505232
-11.219621652051465,-0.1585011508894203,3.457695395505232
-11.219621652051465,0.934379282604179,3.457695395505232
-11.219621652051465,1.2075993909775784,3.457695395505232
-11.219621652051465,1.4808194993509787,3.457695395505248
-11.219621652051465,2.0272597160977783,3.457695395505232
-11.219621652051465,2.3004798244711786,3.457695395505248
-11.219621652051465,2.573699932844579,1.728847697752616
-11.219621652051465,2.8469200412179783,1.728847697752616
-11.219621652051465,3.1201401495913776,1.728847697752616
-11.219621652051465,3.393360257964778,1.728847697752632
-11.219621652051465,3.9398004747115776,3.457695395505232
-11.219621652051465,4.213020583084977,3.457695395505232
-11.219621652051465,4.7594607998317775,3.457695395505232
-10.947894924831356,-1.5246016927564199,3.457695395505248
-10.947894924831356,0.6611591742307796,3.457695395505232
-10.947894924831356,0.934379282604179,3.457695395505232
-10.947894924831356,1.2075993909775784,3.457695395505232
-10.947894924831356,1.4808194993509787,0.7175366251092486
-10.947894924831356,1.754039607724379,1.728847697752616
-10.947894924831356,2.0272597160977783,1.728847697752616
-10.947894924831356,2.3004798244711786,1.728847697752632
-10.947894924831356,2.573699932844579,3.457695395505232
-10.947894924831356,2.8469200412179783,0.7175366251092324
-10.947894924831356,3.1201401495913776,1.728847697752616
-10.947894924831356,3.666580366338178,0.7175366251092324
-10.947894924831356,4.213020583084977,1.728847697752616
-10.947894924831356,5.305901016578577,3.457695395505248
-10.947894924831356,5.5791211249519765,3.457695395505216
-10.676168197611243,-0.43172125926282057,3.457695395505248
-10.676168197611243,-0.1585011508894203,3.457695395505232
-10.676168197611243,0.38793906585737936,3.457695395505248
-10.676168197611243,1.2075993909775784,1.728847697752616
-10.676168197611243,1.4808194993509787,3.457695395505248
-10.676168197611243,1.754039607724379,0.7175366251092324
-10.676168197611243,2.573699932844579,3.457695395505232
-10.676168197611243,3.666580366338178,2.7691182680200657e-16
-10.676168197611243,3.9398004747115776,1.728847697752616
-10.676168197611243,4.213020583084977,3.457695395505232
-10.676168197611243,4.7594607998317775,3.457695395505232
-10.676168197611243,5.032680908205177,3.457695395505232
-10.676168197611243,6.672001558445576,3.457695395505248
-10.404441470391134,-0.9781614760096202,3.457695395505232
-10.404441470391134,-0.7049413676362208,3.457695395505232
-10.404441470391134,-0.1585011508894203,1.728847697752616
-10.404441470391134,0.11471895748397909,3.457695395505232
-10.404441470391134,0.934379282604179,1.728847697752616
-10.404441470391134,1.2075993909775784,3.457695395505232
-10.404441470391134,1.4808194993509787,0.7175366251092486
-10.404441470391134,1.754039607724379,1.728847697752616
-10.404441470391134,2.0272597160977783,3.457695395505232
-10.404441470391134,2.3004798244711786,1.728847697752632
-10.404441470391134,2.573699932844579,1.728847697752616
-10.404441470391134,2.8469200412179783,1.728847697752616
-10.404441470391134,3.1201401495913776,3.457695395505232
-10.404441470391134,3.393360257964778,3.457695395505248
-10.404441470391134,4.213020583084977,3.457695395505232
-10.404441470391134,4.486240691458377,1.728847697752632
-10.404441470391134,5.032680908205177,3.457695395505232
-10.132714743171022,-1.2513815843830196,3.457695395505232
-10.132714743171022,-0.7049413676362208,0.7175366251092324
-10.132714743171022,0.6611591742307796,1.728847697752616
-10.132714743171022,0.934379282604179,3.457695395505232
-10.132714743171022,1.2075993909775784,3.457695395505232
-10.132714743171022,1.4808194993509787,3.457695395505248
-10.132714743171022,1.754039607724379,3.457695395505232
-10.132714743171022,2.0272597160977783,1.728847697752616
-10.132714743171022,2.8469200412179783,2.7691182680200657e-16
-10.132714743171022,3.1201401495913776,3.457695395505232
-10.132714743171022,3.666580366338178,3.457695395505232
-10.132714743171022,4.213020583084977,1.728847697752616
-10.132714743171022,4.7594607998317775,3.457695395505232
-9.860988015950912,-1.5246016927564199,3.457695395505248
-9.860988015950912,-1.2513815843830196,1.728847697752616
-9.860988015950912,-0.43172125926282057,3.457695395505248
-9.860988015950912,-0.1585011508894203,3.457695395505232
-9.860988015950912,0.11471895748397909,3.457695395505232
-9.860988015950912,0.6611591742307796,0.7175366251092324
-9.860988015950912,0.934379282604179,1.728847697752616
-9.860988015950912,1.2075993909775784,3.457695395505232
-9.860988015950912,1.4808194993509787,3.457695395505248
-9.860988015950912,1.754039607724379,1.728847697752616
-9.860988015950912,2.0272597160977783,3.457695395505232
-9.860988015950912,2.3004798244711786,1.633779778131844e-14
-9.860988015950912,2.573699932844579,2.7691182680200657e-16
-9.860988015950912,2.8469200412179783,0.7175366251092324
-9.860988015950912,3.1201401495913776,3.457695395505232
-9.860988015950912,3.9398004747115776,3.457695395505232
-9.860988015950912,4.213020583084977,3.457695395505232
-9.860988015950912,5.032680908205177,3.457695395505232
-9.5892612887308,-0.7049413676362208,3.457695395505248
-9.5892612887308,-0.43172125926282057,3.457695395505264
-9.5892612887308,-0.1585011508894203,0.7175366251092483
-9.5892612887308,0.38793906585737936,1.7288476977526483
-9.5892612887308,0.6611591742307796,1.7288476977526324
-9.5892612887308,0.934379282604179,3.457695395505248
-9.5892612887308,1.2075993909775784,1.7288476977526324
-9.5892612887308,1.754039607724379,1.7288476977526324
-9.5892612887308,2.3004798244711786,1.7288476977526483
-9.5892612887308,2.573699932844579,1.7288476977526324
-9.5892612887308,2.8469200412179783,1.7288476977526324
-9.5892612887308,3.1201401495913776,1.7288476977526324
-9.5892612887308,3.666580366338178,3.457695395505248
-9.5892612887308,3.9398004747115776,3.457695395505248
-9.5892612887308,4.486240691458377,3.457695395505264
-9.5892612887308,4.7594607998317775,3.457695395505248
-9.317534561510689,-0.9781614760096202,1.7288476977525995
-9.317534561510689,-0.7049413676362208,3.4576953955052154
-9.317534561510689,-0.43172125926282057,3.4576953955052314
-9.317534561510689,0.11471895748397909,1.7288476977525995
-9.317534561510689,0.6611591742307796,0.7175366251092158
-9.317534561510689,0.934379282604179,1.7288476977525995
-9.317534561510689,1.2075993909775784,3.4576953955052154
-9.317534561510689,1.754039607724379,3.4576953955052154
-9.317534561510689,2.0272597160977783,1.7288476977525995
-9.317534561510689,2.573699932844579,1.7288476977525995
-9.317534561510689,2.8469200412179783,3.4576953955052154
-9.317534561510689,3.1201401495913776,1.7288476977525995
-9.317534561510689,3.393360257964778,3.4576953955052314
-9.317534561510689,3.666580366338178,3.4576953955052154
-9.317534561510689,4.213020583084977,1.7288476977525995
-9.045807834290578,-2.34426201787662,3.457695395505264
-9.045807834290578,-1.7978218011298202,3.457695395505248
-9.045807834290578,-1.2513815843830196,3.457695395505248
-9.045807834290578,-0.9781614760096202,3.457695395505248
-9.045807834290578,-0.7049413676362208,3.457695395505248
-9.045807834290578,-0.43172125926282057,3.457695395505264
-9.045807834290578,-0.1585011508894203,1.7288476977526324
-9.045807834290578,0.11471895748397909,3.457695395505248
-9.045807834290578,0.934379282604179,3.457695395505248
-9.045807834290578,1.2075993909775784,1.7288476977526324
-9.045807834290578,1.4808194993509787,0.7175366251092645
-9.045807834290578,2.0272597160977783,1.7288476977526324
-9.045807834290578,2.573699932844579,1.7288476977526324
-9.045807834290578,2.8469200412179783,3.457695395505248
-9.045807834290578,3.666580366338178,3.457695395505248
-9.045807834290578,3.9398004747115776,3.457695395505248
-9.045807834290578,5.032680908205177,3.457695395505248
