PC,eigenvalue,explained_variance_ratio
PC1,67.2070078695237,0.0655662773452365
PC2,33.73501085458724,0.03291143510258027
PC3,24.0790047527516,0.023491161916942047
PC4,17.503670454598506,0.017076351826492364
PC5,13.636024324034981,0.01330312687706335
PC6,11.750244013352937,0.011463384285004975
PC7,11.470524402811265,0.01119049349362675
PC8,10.233845240722543,0.009984005487405703
PC9,8.747655911310924,0.008534098627262312
PC10,8.557726042777334,0.008348805533116625
