title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Petunidin (chloride)",389,Done,0.234,-6.31568,"glide-grid_Sa3ANT_avrg",-6.41498,-0.310492,-0.166793,-0,-1.24588,-23.9991,-24.5128,0.185063,0,-75.9423,-48.5119,2.13971
"Petunidin (chloride)",390,Done,0.234,-6.31568,"glide-grid_Sa3ANT_avrg",-6.41498,-0.310492,-0.166793,-0,-1.24588,-23.9991,-24.5128,0.185063,0,-75.9423,-48.5119,2.13971
"Luteolinidin (chloride)",391,Done,0.157,-6.00472,"glide-grid_Sa3ANT_avrg",-6.10982,-0.637438,-0.448349,-0,-1.55969,-19.5148,-18.2127,0.243301,0,-56.1389,-37.7275,2.12581
"Luteolinidin (chloride)",392,Done,0.14,-6.00472,"glide-grid_Sa3ANT_avrg",-6.10982,-0.637438,-0.448349,-0,-1.55969,-19.5148,-18.2127,0.243301,0,-56.1389,-37.7275,2.12581
"Luteolinidin (chloride)",393,Done,0.125,-6.00472,"glide-grid_Sa3ANT_avrg",-6.10982,-0.637438,-0.448349,-0,-1.55969,-19.5148,-18.2127,0.243301,0,-56.1389,-37.7275,2.12581
"Taxifolin",394,Done,0.282,-5.15793,"glide-grid_Sa3ANT_avrg",-5.17773,-0.513598,-0.150673,-0,-1.33465,-21.3028,-15.1275,0.199196,-0.0437447,-50.3766,-36.4303,6.02349
"Taxifolin",395,Done,0.296,-5.15793,"glide-grid_Sa3ANT_avrg",-5.17773,-0.513598,-0.150673,-0,-1.33465,-21.3028,-15.1275,0.199196,-0.0437447,-50.3766,-36.4303,6.02349
"Taxifolin",396,Done,0.313,-5.15793,"glide-grid_Sa3ANT_avrg",-5.17773,-0.513598,-0.150673,-0,-1.33465,-21.3028,-15.1275,0.199196,-0.0437447,-50.3766,-36.4303,6.02349
"Glycitin",397,Done,0.266,-3.71181,"glide-grid_Sa3ANT_avrg",-3.71181,-0.0613294,-0.152,-0,-0.365427,-27.6719,-14.2953,0.401776,-0.00694172,-51.2545,-41.9672,3.41429
"6-Hydroxyluteolin 7-glucoside",398,Done,0.296,-4.06139,"glide-grid_Sa3ANT_avrg",-4.06139,-0.516512,0,-0,-0.242889,-27.8666,-15.014,0.373927,-0.0304879,-50.1852,-42.8806,9.07863
