PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1.5031919897753565,-16.153169655314304,-0.9732062452306264,3.492263091189455,-23.786896909505188,-0.9495441672370343,6.7915848727357035,-5.038003298718718,0.15992049974799702,-5.239540159843047
0.6922573394887788,-12.590412810192966,0.8764533553621895,-0.22668092374702867,-21.91779251107245,0.2922735219115383,5.457627422221309,-2.736500641193264,5.385273485139612,-2.914899529751102
-1.5698932870407616,-12.823654174675479,1.4024189697508365,0.5744064145743304,-21.531097441953175,0.05864564503855684,8.90016736895905,-2.4689425375319636,5.968284165238618,-0.24028965234462676
-0.06311617878303599,-14.164793290691984,3.1807239736565065,0.47624502896102305,-19.524792894083216,-0.779091274381228,7.4676991677053755,0.1469043277352086,3.8380916729214447,-2.6070583302006467
-0.7958524754158688,-14.678085474457543,2.682975574039799,0.9893015065293744,-17.63825644231523,-1.1238994431710465,8.383048205671528,0.21899480556539022,0.37001970606761186,-1.8395862377932553
-1.1194678712671922,-15.052483040586573,1.7886367671534464,-1.0471253485414138,-17.825079180883975,-3.4804500821679856,7.360784843694915,-1.427180014895762,3.811003063797696,-3.8780472115562636
-1.574038065946505,-16.154531257304846,1.8969165428026602,-1.4356826929596327,-17.130363532543036,-1.195547931763464,5.673851259214779,-1.4486703609225569,2.7112253215246147,-1.6886473668641304
-0.4058005480666488,-14.959191724518062,2.396403306761187,0.2413836359256521,-16.215291571470633,-0.921948432135572,7.43599375196394,0.9485083762792679,1.9441006830382805,-2.0286494166356297
-2.759172130352154,-14.688615779946348,4.078807721114167,-0.7172587790288826,-15.75063154405192,-0.44371164064761304,5.105803815941712,1.436958602230376,1.698364306635181,-0.3742356724290639
-1.483757856201725,-17.058575052610113,1.205470614492648,1.7640721208464543,-15.893990863957786,0.8400294326182761,5.7649369433854964,1.2980398659968486,2.790525274935155,-3.2174706968145297
-3.263339421011224,-16.18556987623602,3.106351176704265,-0.06446323666135861,-16.801248202946592,-1.901453628957694,6.082536677366192,0.5774687817722933,1.3281770798569767,-3.870895645033509
-3.233792511286053,-16.610289411359837,1.499849929805348,-0.13885972285224762,-19.540686073768867,-0.6887578996605823,8.723310735417957,-0.3210841812832354,2.750231441110917,-3.9894504925185514
-4.161210118101299,-17.054180536184894,3.3908259620665966,0.7562376392452416,-16.83284809984921,-2.174661430474462,4.824684879768607,-0.715895574833793,-1.9154115384397765,-3.15806457818877
-3.6499226462885153,-17.25107477503599,4.825670540665147,0.26252749068474257,-17.08530567959274,-2.9869014049009417,3.208282265303252,-0.6821389006247914,-1.7392593120588438,-2.0565902407857175
-4.237364766359549,-14.496063100646221,3.6271733729433335,1.4125921113895992,-16.596011239150997,-3.26966014041905,4.697048753164525,-1.3126385402552345,-2.514395860743097,-1.7850732150617652
-3.896983332801273,-14.16001668452846,3.398669371814102,1.153618184907125,-12.803661276697405,-3.2623367310846962,2.586034990473669,-1.3217690050522404,-3.19557262074547,-1.046133761146364
-5.9998745656344,-16.19735300703256,4.643895516459072,2.0070590680929086,-11.872983978406275,-2.111428887535646,3.352730586645161,1.9109464046335516,-2.293782680287462,-0.930069220904902
-5.770434141098215,-14.606274391360968,5.79916203535817,-1.569088307364708,-17.129632085769565,-4.155551603303925,4.435839622458635,0.9611795267393214,-2.222624599514812,0.4154037593953257
-4.290805747021966,-12.675212228946643,4.192506264859025,-0.09855679168661079,-8.869688642090985,-3.0584845635622235,2.0911821559225228,2.505523832027336,-2.5928794988391237,-1.4313928330970587
-4.6759746229222054,-14.026116382617937,2.3617463032472323,1.7843846390278209,-9.858629014381053,-1.7982384214988711,2.2629859790457334,-0.7153522959871346,-7.642312919184913,1.2022666520211258
-3.830208352005985,-12.22142155656336,3.6542229723613593,-0.5268409420112723,-10.09672538774015,-1.7264039257986863,5.183442077276568,2.56229092169205,-4.5501210324819175,2.0278831853049697
-2.825999839206608,-14.397557017348197,5.153540086580005,0.07162563388247437,-9.014415368782432,-3.588350515664404,5.597990236396426,-2.1669659117600806,-3.9073900128867787,4.066352022367841
-3.5666418542181786,-12.17719965692182,2.039901616146489,-1.2286971534591598,-9.034700396671724,-4.276432613015523,1.9249741428857274,-2.113240838408769,-3.5748227811879514,-1.3743683898109444
-5.318540249334209,-10.528852375697442,7.209078179297345,-0.8884568016163044,-6.0814687015094835,-2.5621497017225208,2.164042994381206,-1.4560794614492925,-3.8871358801198617,1.0952571300384135
-5.547024827917795,-11.480681036224741,5.936666209143455,0.7238476073796541,-8.534397563790025,-2.162245091912239,0.7800811602782236,-2.1817840912825237,-5.020965466356485,0.4434773722725233
-4.78831066917925,-11.114400783876306,5.311164103906857,-0.04134109931822337,-9.045313488752308,-3.2174663736840525,2.890561226016543,-2.818915591117425,-6.974097298337685,1.760817877772211
-4.872762346272836,-12.14440036078399,6.033971576617042,1.4450420698329138,-9.138542390134218,-3.446361548188762,2.3870732533644006,-1.8791033474985341,-4.8284813523633385,1.3524288093268835
-4.71039627188568,-11.978617768807625,6.774461225722885,0.5038739820243834,-9.115251006255201,-4.6059066137750015,1.941140972056225,-1.9677089566626105,-2.55654120694566,0.8109677959814672
