frame,PC1,PC2,cluster
0,-9.396747473872434,11.33351833672015,2
1,-9.053621317567817,15.155602735968298,2
2,-8.470147003505357,13.27358396046747,2
3,-8.526449917255345,17.689301519441898,2
4,-10.068114551367552,17.185025431574278,2
5,-9.72355127814435,13.310537338166268,2
6,-9.123400536817947,16.098384465574338,2
7,-9.841037096427149,17.150720191721216,2
8,-7.595499185958515,11.894781670063026,2
9,-7.754373853077958,12.942873765204853,2
10,-10.194346809147437,15.272262195443085,2
11,-8.700324480915002,15.05814650647418,2
12,-8.61165940866338,11.876325083270512,2
13,-9.462381334951083,14.736450204792693,2
14,-8.925068244197947,15.11328134190949,2
15,-7.422136604030183,12.367832323146786,2
16,-9.885068769170978,13.538733857876567,2
17,-9.257016243979796,14.95596722864182,2
18,-6.2432073765042695,14.11017615005497,2
19,-7.662749136336639,13.377015499929241,2
20,-8.790944809972464,11.285180750535831,2
21,-9.03322505913216,11.817967083930274,2
22,-7.129103003964142,11.531758018614596,2
23,-8.114606675891805,12.001976254132243,2
24,-5.828211614221057,14.481888549435757,2
25,-7.419634369812863,13.702497495253409,2
26,-9.975319401046018,12.128921643564853,2
27,-7.605640126600327,12.553457953825061,2
28,-8.684268648263636,12.561787785765954,2
29,-8.135179314733989,11.38572764295358,2
30,-7.987047485752761,11.735494723382129,2
31,-6.490875637990779,9.680095339237596,2
32,-5.071872515349572,9.576822813758513,2
33,-6.494390896279405,9.993944262420294,2
34,-7.536482723848045,13.38169904329274,2
35,-6.461462243810501,12.638514612064927,2
36,-7.51145409451055,13.09197249692429,2
37,-9.29948481140814,13.442803581961487,2
38,-5.302817496542412,11.41872179344286,2
39,-6.711474240552375,14.01517588031629,2
40,-8.344456640153286,12.753167401246312,2
41,-9.678651348964513,12.729548712900774,2
42,-8.970003315279309,12.663346548842794,2
43,-7.326392410907512,13.421555004533737,2
44,-9.281781100486358,14.585254359509598,2
45,-9.731809197895156,11.238549291580757,2
46,-7.357460702868371,11.178586817155102,2
47,-9.870751366855878,10.989525541233467,2
48,-8.215330008771682,9.96772499565757,2
49,-8.594737182623954,11.464798656637612,2
50,-7.5632243666949925,17.039646907721504,2
51,-7.483066821225393,16.307814153831664,2
52,-9.250972478930542,15.094008606590394,2
53,-7.335708530205254,11.316732905880528,2
54,-7.467579295125675,14.441103614154157,2
55,-6.6414238228882985,14.0303143709618,2
56,-8.270107137868118,13.718936222046528,2
57,-5.873132121392458,15.049644680956707,2
58,-7.9281465619286315,13.73741033209484,2
59,-5.6840318445657205,11.970948955562696,2
60,-5.809223768792928,13.850865229800998,2
61,-7.002421258700325,7.667456513430406,2
62,-6.626706732876485,10.301810279039785,2
63,-7.8942707387767985,11.152465917407307,2
64,-7.281465924151282,11.989368935880288,2
65,-8.522343741292413,10.502559201369817,2
66,-8.72624907409688,13.11088850616093,2
67,-6.974689650804757,13.994070630098115,2
68,-8.23449144588364,12.824659413166078,2
69,-7.501584200709912,13.289482596692558,2
70,-9.899623617665211,11.109737244324458,2
71,-10.22001506139711,11.378476425146484,2
72,-8.890656909352028,9.095750621307694,2
73,-9.610919876961892,12.07281602553841,2
74,-8.358074020796467,13.013653048217677,2
75,-6.186813780005159,12.691230963650153,2
76,-7.269677279091625,12.939235084790539,2
77,-8.535623460016572,8.715515899834324,2
78,-7.061559382715969,9.87124029247713,2
79,-8.186785599061679,9.152628472501132,2
80,-9.725129427786811,10.243449022252063,2
81,-9.529197252927322,11.098791476241653,2
82,-10.14515321484989,11.25390205972396,2
83,-8.415603495477255,10.677287407162241,2
84,-8.890716508462905,9.96282519721011,2
85,-9.767153926378622,9.343792254559407,2
